timestamp,what_degree_program_are_you_currently_enrolled_in,gender_simple,race_simple,age
2024/09/09 12:33:58 PM AST,Mechanical Engineering Technologies,man,white,21-24
2024/09/09 6:00:11 PM AST,CIS Game Development Option,man,multi_racial,18 and younger
2024/09/10 9:00:12 AM AST,Computer Science,man,multi_racial,18 and younger
2024/09/10 12:34:53 PM AST,Mechanical Engineering,man,hispanic_latino,19-20
2024/09/10 3:06:47 PM AST,Computer Science,man,asian,19-20
2024/09/10 3:07:28 PM AST,Undecided,man,white,21-24
2024/09/10 3:07:36 PM AST,Business Admin,man,asian,19-20
2024/09/10 3:07:42 PM AST,Undecided,man,asian,19-20
2024/09/10 3:07:51 PM AST,"Technical Studies, Applied Associate of Science",man,hispanic_latino,18 and younger
2024/09/10 3:08:06 PM AST,Computer Science,man,white,18 and younger
2024/09/10 3:08:12 PM AST,Information Security Certificate of Achievement,man,hispanic_latino,19-20
2024/09/10 3:08:18 PM AST,electrical engineering technology,man,hispanic_latino,18 and younger
2024/09/10 3:08:20 PM AST,Computer Science,man,multi_racial,18 and younger
2024/09/10 3:08:38 PM AST,Information Security Certificate of Achievement,man,hispanic_latino,25-34
2024/09/10 3:08:43 PM AST,Computer Science,man,asian,25-34
2024/09/10 3:08:50 PM AST,Computer Science,man,black_african_american,18 and younger
2024/09/10 3:09:36 PM AST,Liberal Arts,man,white,19-20
2024/09/10 3:09:48 PM AST,Computer Science,man,white,18 and younger
2024/09/10 3:11:07 PM AST,Electronical Engineer,man,black_african_american,35-64
2024/09/10 3:15:10 PM AST,Information Technology,man,black_african_american,21-24
2024/09/10 5:17:34 PM AST,Computer Science,man,other,18 and younger
2024/09/10 5:24:45 PM AST,Computer Science,man,multi_racial,19-20
2024/09/10 7:17:19 PM AST,Computer Science,man,hispanic_latino,25-34
2024/09/10 7:17:55 PM AST,"Technical Studies, Applied Associate of Science",man,white,25-34
2024/09/10 7:18:04 PM AST,Non Degree seeking,man,white,18 and younger
2024/09/10 7:18:59 PM AST,Non Degree seeking,man,hispanic_latino,19-20
2024/09/10 7:20:01 PM AST,Computer Science,man,white,19-20
2024/09/10 7:20:25 PM AST,Mechanical Engineering,man,hispanic_latino,25-34
2024/09/10 7:20:36 PM AST,Computer Science,man,hispanic_latino,21-24
2024/09/10 7:24:54 PM AST,Computer Science,man,asian,19-20
2024/09/10 7:37:14 PM AST,Computer Science,man,asian,18 and younger
2024/09/10 7:38:34 PM AST,Computer Science,man,hispanic_latino,19-20
2024/09/10 7:38:39 PM AST,Computer Science,man,multi_racial,19-20
2024/09/10 7:38:52 PM AST,Information Technology,man,hispanic_latino,25-34
2024/09/10 7:39:17 PM AST,Information Technology,man,hispanic_latino,21-24
2024/09/10 7:39:31 PM AST,Information Technology,man,multi_racial,19-20
2024/09/10 7:39:31 PM AST,Computer Science,man,black_african_american,19-20
2024/09/10 7:39:36 PM AST,Computer Science,man,black_african_american,25-34
2024/09/10 7:40:10 PM AST,Computer Science,man,hispanic_latino,18 and younger
2024/09/10 9:30:31 PM AST,Information Technology,man,hispanic_latino,25-34
2024/09/11 9:23:56 AM AST,Computer Science,man,asian,25-34
2024/09/11 2:03:49 PM AST,Information Technology,man,hispanic_latino,19-20
2024/09/11 2:07:35 PM AST,cyberseucirty,man,hispanic_latino,18 and younger
2024/09/11 2:08:02 PM AST,ShareTime CSIP Program,man,hispanic_latino,18 and younger
2024/09/11 2:08:24 PM AST,cybersecurity,man,hispanic_latino,18 and younger
2024/09/11 2:08:25 PM AST,Information Technology,man,asian,18 and younger
2024/09/11 2:08:51 PM AST,ShareTime CSIP Program,man,white,18 and younger
2024/09/11 2:08:53 PM AST,Information Technology,man,black_african_american,18 and younger
2024/09/11 2:08:59 PM AST,ShareTime CSIP Program,man,asian,18 and younger
2024/09/11 2:09:08 PM AST,ShareTime CSIP Program,man,white,18 and younger
2024/09/11 2:09:21 PM AST,Challenger Program,man,white,18 and younger
2024/09/11 2:09:34 PM AST,Computer Science,man,hispanic_latino,18 and younger
2024/09/11 2:09:49 PM AST,Information Technology,man,white,18 and younger
2024/09/11 2:10:07 PM AST,ShareTime CSIP Program,man,hispanic_latino,18 and younger
2024/09/11 2:10:12 PM AST,ShareTime CSIP Program,man,white,18 and younger
2024/09/11 2:10:13 PM AST,ShareTime CSIP Program,man,white,18 and younger
2024/09/11 2:10:39 PM AST,Information Technology,man,white,18 and younger
2024/09/11 2:11:50 PM AST,ShareTime CSIP Program,man,multi_racial,18 and younger
2024/09/11 2:13:37 PM AST,Information Technology,man,other,18 and younger
2024/09/11 2:17:55 PM AST,Computer Science,man,other,18 and younger
2024/09/11 2:18:07 PM AST,Challenger Program,man,asian,18 and younger
2024/09/11 2:18:23 PM AST,Computer Science,man,black_african_american,18 and younger
2024/09/11 2:18:33 PM AST,CIS Game Development Option,man,multi_racial,21-24
2024/09/11 2:18:39 PM AST,electrical engineering,man,white,18 and younger
2024/09/11 2:19:20 PM AST,Business Administration,man,white,19-20
2024/09/11 2:19:35 PM AST,Mechanical engineering technology,man,multi_racial,18 and younger
2024/09/11 2:19:39 PM AST,Computer Science,man,white,18 and younger
2024/09/11 2:19:57 PM AST,Computer Science,man,asian,19-20
2024/09/11 2:20:20 PM AST,CIS Game Development Option,man,black_african_american,18 and younger
2024/09/11 2:20:23 PM AST,Computer Science,man,white,21-24
2024/09/11 2:20:59 PM AST,Electronics Technolgies Engineering,man,multi_racial,19-20
2024/09/11 2:21:01 PM AST,CIS Game Development Option,man,multi_racial,18 and younger
2024/09/11 2:21:39 PM AST,Computer Science,man,white,18 and younger
2024/09/11 2:24:14 PM AST,Computer Science,man,white,19-20
2024/09/11 4:09:16 PM AST,Information Technology,man,asian,19-20
2024/09/11 4:59:16 PM AST,Non Degree seeking,man,white,25-34
2024/09/11 6:42:01 PM AST,Data Science,man,white,18 and younger
2024/09/12 10:38:36 AM AST,Computer Science,man,black_african_american,18 and younger
2024/09/12 10:38:38 AM AST,Business,man,white,21-24
2024/09/12 10:38:40 AM AST,Computer Science,man,hispanic_latino,19-20
2024/09/12 10:39:06 AM AST,Computer Science,man,hispanic_latino,25-34
2024/09/12 10:39:09 AM AST,Computer Science,man,multi_racial,18 and younger
2024/09/12 10:39:12 AM AST,High School,man,native_american,18 and younger
2024/09/12 10:39:14 AM AST,Computer Science,man,multi_racial,19-20
2024/09/12 10:39:45 AM AST,mechanical engineering,man,white,19-20
2024/09/12 10:40:58 AM AST,Information Technology,man,other,19-20
2024/09/12 10:41:41 AM AST,Computer Science,man,white,18 and younger
2024/09/12 10:41:58 AM AST,Computer Science,man,hispanic_latino,18 and younger
2024/09/12 10:42:36 AM AST,Mechanical Engineering,man,other,18 and younger
2024/09/12 10:43:34 AM AST,Fire Science Technology,man,white,19-20
2024/09/12 11:28:27 AM AST,Information Technology,man,other,19-20
2024/09/12 11:28:58 AM AST,Undecided,man,hispanic_latino,19-20
2024/09/12 11:29:09 AM AST,Information Technology,man,white,19-20
2024/09/12 11:29:33 AM AST,Information Security Certificate of Achievement,man,hispanic_latino,18 and younger
2024/09/12 11:29:50 AM AST,Information Security Certificate of Achievement,man,white,18 and younger
2024/09/12 11:30:23 AM AST,Information Technology,man,multi_racial,19-20
2024/09/12 11:30:59 AM AST,Information Technology,man,black_african_american,35-64
2024/09/12 11:31:25 AM AST,Information Security Certificate of Achievement,man,black_african_american,19-20
2024/09/12 11:32:36 AM AST,business,man,white,19-20
2024/09/12 11:34:40 AM AST,Information Technology,man,other,21-24
2024/09/12 12:35:40 PM AST,Information Technology,man,multi_racial,19-20
2024/09/12 2:05:37 PM AST,Information Technology,man,hispanic_latino,35-64
2024/09/12 2:06:08 PM AST,Computer Science,man,white,21-24
2024/09/12 2:08:08 PM AST,Information Technology,man,hispanic_latino,21-24
2024/09/12 2:08:34 PM AST,Data Analytics Certificate of Achievement,man,black_african_american,25-34
2024/09/12 2:09:05 PM AST,Computer Science,man,white,25-34
2024/09/12 2:10:35 PM AST,Information Technology,man,asian,19-20
2024/09/12 2:25:45 PM AST,Computer Science,man,white,21-24
2024/09/12 3:53:36 PM AST,Computer Science,man,asian,18 and younger
2024/09/12 5:11:15 PM AST,Challenger Program,man,white,18 and younger
2024/09/12 6:28:39 PM AST,Chemistry,man,asian,19-20
2024/09/12 8:50:38 PM AST,Graphic Design,man,hispanic_latino,18 and younger
2024/09/12 9:22:30 PM AST,Digital Media Technology,man,white,21-24
2024/09/12 9:22:34 PM AST,business,man,white,35-64
2024/09/12 9:22:44 PM AST,Business,man,white,21-24
2024/09/12 9:23:18 PM AST,business administration,man,hispanic_latino,21-24
2024/09/12 9:23:56 PM AST,graphic arts,other,native_american,21-24
2024/09/12 9:24:17 PM AST,Digital Media Technology,man,white,21-24
2024/09/12 9:24:28 PM AST,Undecided,man,hispanic_latino,19-20
2024/09/13 8:24:16 AM AST,Information Technology,man,asian,18 and younger
2024/09/13 8:24:30 AM AST,Undecided,man,white,18 and younger
2024/09/13 8:25:50 AM AST,cybersecurity,man,asian,18 and younger
2024/09/13 8:26:08 AM AST,Information Security Certificate of Achievement,man,native_american,18 and younger
2024/09/13 8:27:30 AM AST,Information Technology,man,hispanic_latino,18 and younger
2024/09/13 8:27:37 AM AST,Information Technology,man,hispanic_latino,18 and younger
2024/09/13 8:27:54 AM AST,Information Technology,man,white,18 and younger
2024/09/13 8:28:23 AM AST,Information Security Certificate of Achievement,man,multi_racial,18 and younger
2024/09/13 8:28:33 AM AST,Information Security Certificate of Achievement,man,asian,18 and younger
2024/09/13 8:28:49 AM AST,Information Technology,man,black_african_american,18 and younger
2024/09/13 8:30:03 AM AST,Information Security Certificate of Achievement,man,other,18 and younger
2024/09/13 8:31:04 AM AST,Computer Science,man,hispanic_latino,18 and younger
2024/09/13 8:31:34 AM AST,Information Security Certificate of Achievement,man,multi_racial,65+
2024/09/13 8:35:26 AM AST,Information Technology,man,asian,18 and younger
2024/09/13 11:57:44 AM AST,Data Analytics Certificate of Achievement,man,white,19-20
2024/09/13 11:58:18 AM AST,Computer Science,man,hispanic_latino,19-20
2024/09/13 11:58:25 AM AST,Business Administration,man,white,21-24
2024/09/13 11:58:49 AM AST,Computer Science,man,other,25-34
2024/09/13 11:58:53 AM AST,Information Technology,man,hispanic_latino,25-34
2024/09/13 11:59:02 AM AST,data science,man,white,19-20
2024/09/13 11:59:09 AM AST,Data Analytics Certificate of Achievement,man,black_african_american,35-64
2024/09/13 11:59:13 AM AST,Computer Science,man,hispanic_latino,19-20
2024/09/13 11:59:21 AM AST,Computer Science (Data Science Option),man,hispanic_latino,18 and younger
2024/09/13 11:59:40 AM AST,Computer Science,man,white,35-64
2024/09/13 11:59:56 AM AST,Computer Science,man,white,18 and younger
2024/09/13 12:00:22 PM AST,Computer Science,man,white,19-20
2024/09/13 12:01:16 PM AST,CIS Game Development Option,man,multi_racial,18 and younger
2024/09/13 12:01:27 PM AST,Communications,man,white,19-20
2024/09/13 12:01:30 PM AST,MET,man,hispanic_latino,25-34
2024/09/13 12:01:40 PM AST,Computer Science,man,multi_racial,21-24
2024/09/13 12:04:49 PM AST,Data science,man,white,18 and younger
2024/09/13 12:04:51 PM AST,Data science,man,white,18 and younger
2024/09/13 12:04:55 PM AST,Data science,man,white,18 and younger
2024/09/13 3:43:58 PM AST,Computer Science,other,asian,19-20
2024/09/14 7:27:21 PM AST,Computer Science,man,white,19-20
2024/09/15 10:47:24 AM AST,Undecided,man,other,18 and younger
2024/09/15 6:57:51 PM AST,Information Technology,man,white,21-24
2024/09/15 7:04:13 PM AST,Information Technology & Info Security Certificate,man,white,21-24
2024/09/15 9:42:15 PM AST,Engineering Science / Mechanical Engineering Technology,man,white,35-64
2024/09/16 9:44:01 AM AST,Undecided,man,white,18 and younger
2024/09/16 9:45:10 AM AST,Mechanical Technology,man,white,21-24
2024/09/16 9:45:28 AM AST,Computer Science,man,hispanic_latino,18 and younger
2024/09/16 9:45:40 AM AST,Information Technology,man,white,21-24
2024/09/16 9:45:52 AM AST,Computer Science,man,multi_racial,18 and younger
2024/09/16 9:46:57 AM AST,Computer Science,man,asian,19-20
2024/09/16 9:47:12 AM AST,Mechanical Engineering,man,white,18 and younger
2024/09/16 9:48:31 AM AST,Mechanical Engineering Tech,man,multi_racial,18 and younger
2024/09/16 9:48:48 AM AST,Computer Science,man,multi_racial,18 and younger
2024/09/16 9:49:17 AM AST,Associates of Fine Arts Concentration Architecture,man,white,19-20
2024/09/16 9:49:23 AM AST,Computer Science,man,white,18 and younger
2024/09/16 9:50:10 AM AST,Non Degree seeking,man,multi_racial,19-20
2024/09/16 9:50:20 AM AST,Mechanical Engineering Technology,man,multi_racial,18 and younger
2024/09/16 9:53:49 AM AST,Computer Science,man,white,18 and younger
2024/09/16 9:56:07 AM AST,Non Degree seeking,man,multi_racial,19-20
2024/09/16 9:56:22 AM AST,Mechanical Engineering Technology,man,multi_racial,18 and younger
2024/09/16 9:58:01 AM AST,Information Technology,man,hispanic_latino,19-20
2024/09/16 11:01:21 AM AST,Mechanical Engineering Technologist,man,multi_racial,21-24
2024/09/16 12:44:50 PM AST,Computer Science,man,asian,25-34
2024/09/16 12:48:27 PM AST,Computer Science,man,asian,25-34
2024/09/16 1:46:54 PM AST,Web Development Certificate of Achievement,man,hispanic_latino,19-20
2024/09/16 9:28:34 PM AST,Information Technology,man,multi_racial,35-64
2024/09/16 9:31:32 PM AST,Information Technology,man,multi_racial,35-64
2024/09/17 10:06:33 AM AST,Electrical Engineering w/ biomed option,man,white,25-34
2024/09/19 10:24:59 PM AST,CIS Game Development Option,man,white,19-20
2024/09/19 10:27:44 PM AST,CIS Game Development Option,man,white,19-20
2024/09/21 4:14:33 PM AST,"Technical Studies, Applied Associate of Science",man,white,21-24
2024/09/21 11:25:37 PM AST,Mechanical engineering technology,man,white,19-20
2024/09/21 11:48:22 PM AST,Mech e,man,white,19-20
2024/09/21 11:53:32 PM AST,Mech E,man,white,19-20
2024/09/22 8:09:39 AM AST,Mechanical Engineering,man,other,21-24
2024/09/22 11:56:05 AM AST,Non Degree seeking,man,white,19-20
2024/09/22 3:10:08 PM AST,Computer Science,man,multi_racial,19-20
2024/09/22 3:13:34 PM AST,Computer Science,man,multi_racial,19-20
2024/09/22 6:32:46 PM AST,Information Technology,man,black_african_american,19-20
